question_id,evaluation_question,expected_focus,expected_qtype,primary_expected_qa_uid,candidate_qa_uid,candidate_doc_uid,candidate_source,candidate_question,candidate_focus,candidate_qtype,candidate_answer_preview,included_as_relevant
eval_0019,What is (are) Pallister-Killian mosaic syndrome ?,Pallister-Killian mosaic syndrome,information,2_GARD_QA::0004688::0004688-1,3_GHR_QA::0000768::0000768-1,3_GHR_QA::0000768::0000768,GHR,What is (are) Pallister-Killian mosaic syndrome ?,Pallister-Killian mosaic syndrome,information,"Pallister-Killian mosaic syndrome is a developmental disorder that affects many parts of the body. This condition is characterized by extremely weak muscle tone (hypotonia) in infancy and early childhood, intellectual disability, distinctive facial features, sparse hair, areas of unusual skin coloring (pigmentation), and other birth defects. Most babies with Pallister-Killian mosaic syndrome are born with significant hypotonia, which can cause difficulty breathing and problems with feeding. Hypo",True
eval_0020,What are the treatments for Mucopolysaccharidosis type I ?,Mucopolysaccharidosis type I,treatment,2_GARD_QA::0004155::0004155-5,2_GARD_QA::0004155::0004155-5,2_GARD_QA::0004155::0004155,GARD,What are the treatments for Mucopolysaccharidosis type I ?,Mucopolysaccharidosis type I,treatment,"What treatment is available for mucopolysaccharidosis I (MPS I)? The two main treatments for MPS I are enzyme replacement therapy (ERT) and bone marrow transplant. Both of these treatments work by replacing the missing IDUA enzyme. A drug called laronidase or Aldurazyme is the enzyme replacement therapy for MPS I. Treatment with laronidase can improve problems with breathing, growth, the bones, joints and heart. However, this treatment is not expected to treat problems with mental development be",True
eval_0020,What are the treatments for Mucopolysaccharidosis type I ?,Mucopolysaccharidosis type I,treatment,2_GARD_QA::0004155::0004155-5,3_GHR_QA::0000678::0000678-5,3_GHR_QA::0000678::0000678,GHR,What are the treatments for mucopolysaccharidosis type I ?,mucopolysaccharidosis type I,treatment,These resources address the diagnosis or management of mucopolysaccharidosis type I: - Baby's First Test - Gene Review: Gene Review: Mucopolysaccharidosis Type I - Genetic Testing Registry: Mucopolysaccharidosis type I - MedlinePlus Encyclopedia: Hurler Syndrome - MedlinePlus Encyclopedia: Mucopolysaccharides - MedlinePlus Encyclopedia: Scheie Syndrome - National MPS Society: Treatments These resources from MedlinePlus offer information about the diagnosis and management of various health condit,True
eval_0021,what research (or clinical trials) is being done for Prostate Cancer ?,Prostate Cancer,research,1_CancerGov_QA::0000036_1::0000036_1-7,1_CancerGov_QA::0000036_1::0000036_1-7,1_CancerGov_QA::0000036_1::0000036_1,CancerGov,what research (or clinical trials) is being done for Prostate Cancer ?,Prostate Cancer,research,New types of treatment are being tested in clinical trials. This summary section describes treatments that are being studied in clinical trials. It may not mention every new treatment being studied. Information about clinical trials is available from the NCI website. Cryosurgery Cryosurgery is a treatment that uses an instrument to freeze and destroy prostate cancer cells. Ultrasound is used to find the area that will be treated. This type of treatment is also called cryotherapy. Cryosurgery can,True
eval_0021,what research (or clinical trials) is being done for Prostate Cancer ?,Prostate Cancer,research,1_CancerGov_QA::0000036_1::0000036_1-7,1_CancerGov_QA::0000036_2::0000036_2-5,1_CancerGov_QA::0000036_2::0000036_2,CancerGov,what research (or clinical trials) is being done for Prostate Cancer ?,Prostate Cancer,research,Cancer prevention clinical trials are used to study ways to prevent cancer. Cancer prevention clinical trials are used to study ways to lower the risk of developing certain types of cancer. Some cancer prevention trials are conducted with healthy people who have not had cancer but who have an increased risk for cancer. Other prevention trials are conducted with people who have had cancer and are trying to prevent another cancer of the same type or to lower their chance of developing a new type o,True
eval_0021,what research (or clinical trials) is being done for Prostate Cancer ?,Prostate Cancer,research,1_CancerGov_QA::0000036_1::0000036_1-7,7_SeniorHealth_QA::0000058::0000058-7,7_SeniorHealth_QA::0000058::0000058,NIHSeniorHealth,what research (or clinical trials) is being done for Prostate Cancer ?,Prostate Cancer,research,"Scientists continue to look at new ways to prevent, treat, and diagnose prostate cancer. Research has already led to a number of advances in these areas. Dietary Research Several studies are under way to explore the causes of prostate cancer. Some researchers think that diet may affect a man's chances of developing prostate cancer. For example, some studies show that prostate cancer is more common in populations that consume a high-fat diet, particularly animal fat, and in populations with diets",True
eval_0023,What are the treatments for Aicardi syndrome ?,Aicardi syndrome,treatment,3_GHR_QA::0000028::0000028-5,3_GHR_QA::0000028::0000028-5,3_GHR_QA::0000028::0000028,GHR,What are the treatments for Aicardi syndrome ?,Aicardi syndrome,treatment,These resources address the diagnosis or management of Aicardi syndrome: - Baylor College of Medicine - Gene Review: Gene Review: Aicardi Syndrome - Genetic Testing Registry: Aicardi's syndrome These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care,True
eval_0023,What are the treatments for Aicardi syndrome ?,Aicardi syndrome,treatment,3_GHR_QA::0000028::0000028-5,6_NINDS_QA::0000011::0000011-2,6_NINDS_QA::0000011::0000011,NINDS,What are the treatments for Aicardi Syndrome ?,Aicardi Syndrome,treatment,There is no cure for Aicardi syndrome nor is there a standard course of treatment. Treatment generally involves medical management of seizures and programs to help parents and children cope with developmental delays. Long-term management by a pediatric neurologist with expertise in the management of infantile spasms is recommended.,True
eval_0027,What to do for Gastroparesis ?,Gastroparesis,considerations,5_NIDDK_QA::0000107::0000107-6,5_NIDDK_QA::0000107::0000107-6,5_NIDDK_QA::0000107::0000107,NIDDK,What to do for Gastroparesis ?,Gastroparesis,considerations,"Changing eating habits can sometimes help control the severity of gastroparesis symptoms. A health care provider may suggest eating six small meals a day instead of three large ones. If less food enters the stomach each time a person eats, the stomach may not become overly full, allowing it to empty more easily. Chewing food well, drinking noncarbonated liquids with a meal, and walking or sitting for 2 hours after a mealinstead of lying downmay assist with gastric emptying. A health care provide",True
eval_0027,What to do for Gastroparesis ?,Gastroparesis,considerations,5_NIDDK_QA::0000107::0000107-6,5_NIDDK_QA::0000107::0000107-9,5_NIDDK_QA::0000107::0000107,NIDDK,What to do for Gastroparesis ?,Gastroparesis,considerations,"- Gastroparesis, also called delayed gastric emptying, is a disorder that slows or stops the movement of food from the stomach to the small intestine. - Gastroparesis can occur when the vagus nerve is damaged by illness or injury and the stomach muscles stop working normally. Food then moves slowly from the stomach to the small intestine or stops moving altogether. - Most people diagnosed with gastroparesis have idiopathic gastroparesis, which means a health care provider cannot identify the cau",True
eval_0041,What are the treatments for cystic fibrosis ?,cystic fibrosis,treatment,3_GHR_QA::0000262::0000262-5,3_GHR_QA::0000262::0000262-5,3_GHR_QA::0000262::0000262,GHR,What are the treatments for cystic fibrosis ?,cystic fibrosis,treatment,These resources address the diagnosis or management of cystic fibrosis: - American Society for Reproductive Medicine: Male Infertility - Baby's First Test - Gene Review: Gene Review: CFTR-Related Disorders - Genetic Testing Registry: Cystic fibrosis - Genomics Education Programme (UK) - MedlinePlus Encyclopedia: Cystic Fibrosis These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabi,True
eval_0041,What are the treatments for cystic fibrosis ?,cystic fibrosis,treatment,3_GHR_QA::0000262::0000262-5,8_NHLBI_QA_XML::0000049::0000049-7,8_NHLBI_QA_XML::0000049::0000049,NHLBI,What are the treatments for Cystic Fibrosis ?,Cystic Fibrosis,treatment,"Cystic fibrosis (CF) has no cure. However, treatments have greatly improved in recent years. The goals of CF treatment include: Preventing and controlling lung infections Loosening and removing thick, sticky mucus from the lungs Preventing or treating blockages in the intestines Providing enough nutrition Preventing dehydration (a lack of fluid in the body) Depending on the severity of CF, you or your child may be treated in a hospital. Specialists Involved If you or your child has CF, you may b",True
eval_0053,What are the treatments for Tay-Sachs disease ?,Tay-Sachs disease,treatment,2_GARD_QA::0006017::0006017-5,2_GARD_QA::0006017::0006017-5,2_GARD_QA::0006017::0006017,GARD,What are the treatments for Tay-Sachs disease ?,Tay-Sachs disease,treatment,"How might children with Tay-Sachs disease be treated? Although several attempts have been made at purified enzyme replacement therapy for children with Tay-Sachs disease, none has been successful. Cellular infusions and even bone marrow transplantation have been attempted with no evidence of benefit. Because no specific treatment is available for Tay-Sachs disease, treatment is directed at the symptoms and major associated conditions. Treatment is supportive and aimed at providing adequate nutri",True
eval_0053,What are the treatments for Tay-Sachs disease ?,Tay-Sachs disease,treatment,2_GARD_QA::0006017::0006017-5,3_GHR_QA::0000972::0000972-5,3_GHR_QA::0000972::0000972,GHR,What are the treatments for Tay-Sachs disease ?,Tay-Sachs disease,treatment,These resources address the diagnosis or management of Tay-Sachs disease: - Gene Review: Gene Review: Hexosaminidase A Deficiency - Genetic Testing Registry: Tay-Sachs disease - MedlinePlus Encyclopedia: Tay-Sachs Disease These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care,True
eval_0053,What are the treatments for Tay-Sachs disease ?,Tay-Sachs disease,treatment,2_GARD_QA::0006017::0006017-5,6_NINDS_QA::0000265::0000265-2,6_NINDS_QA::0000265::0000265,NINDS,What are the treatments for Tay-Sachs Disease ?,Tay-Sachs Disease,treatment,Presently there is no specific treatment for Tay-Sachs disease. Anticonvulsant medicine may initially control seizures. Other supportive treatment includes proper nutrition and hydration and techniques to keep the airway open. Children may eventually need a feeding tube.,True
eval_0054,What is (are) nephrogenic diabetes insipidus ?,nephrogenic diabetes insipidus,information,3_GHR_QA::0000719::0000719-1,2_GARD_QA::0004342::0004342-1,2_GARD_QA::0004342::0004342,GARD,What is (are) Nephrogenic diabetes insipidus ?,Nephrogenic diabetes insipidus,information,"Nephrogenic diabetes insipidus is a disorder in which a defect in the small tubes (tubules) in the kidneys causes a person to pass a large amount of urine. Nephrogenic diabetes insipidus occurs when the kidney tubules, which allow water to be removed from the body or reabsorbed, do not respond to a chemical in the body called antidiuretic hormone (ADH) or vasopressin. ADH normally tells the kidneys to make the urine more concentrated. As a result of the defect, the kidneys release an excessive a",True
eval_0054,What is (are) nephrogenic diabetes insipidus ?,nephrogenic diabetes insipidus,information,3_GHR_QA::0000719::0000719-1,3_GHR_QA::0000719::0000719-1,3_GHR_QA::0000719::0000719,GHR,What is (are) nephrogenic diabetes insipidus ?,nephrogenic diabetes insipidus,information,"Nephrogenic diabetes insipidus is a disorder of water balance. The body normally balances fluid intake with the excretion of fluid in urine. However, people with nephrogenic diabetes insipidus produce too much urine (polyuria), which causes them to be excessively thirsty (polydipsia). Affected individuals can quickly become dehydrated if they do not drink enough water, especially in hot weather or when they are sick. Nephrogenic diabetes insipidus can be either acquired or hereditary. The acquir",True
eval_0062,What is (are) Dravet Syndrome ?,Dravet Syndrome,information,6_NINDS_QA::0000108::0000108-1,2_GARD_QA::0001924::0001924-1,2_GARD_QA::0001924::0001924,GARD,What is (are) Dravet syndrome ?,Dravet syndrome,information,"Dravet syndrome is a severe form of epilepsy. The condition appears during the first year of life as frequent fever-related (febrile) seizures. As the condition progresses, other types of seizures typically occur, including myoclonus and status epilepticus. A family history of either epilepsy or febrile seizures exists in 15 percent to 25 percent of cases. Intellectual development begins to deteriorate around age 2, and affected individuals often have a lack of coordination, poor development of ",True
eval_0062,What is (are) Dravet Syndrome ?,Dravet Syndrome,information,6_NINDS_QA::0000108::0000108-1,6_NINDS_QA::0000108::0000108-1,6_NINDS_QA::0000108::0000108,NINDS,What is (are) Dravet Syndrome ?,Dravet Syndrome,information,"Dravet syndrome, also called severe myoclonic epilepsy of infancy (SMEI), is a severe form of epilepsy. It appears during the first year of life with frequent febrile seizures fever-related seizures that, by definition, are rare beyond age 5. Later, other types of seizures typically arise, including myoclonus (involuntary muscle spasms). Status epilepticus a state of continuous seizure requiring emergency medical care also may occur. Children with Dravet syndrome typically experience poor develo",True
eval_0063,What is (are) Hereditary sensory and autonomic neuropathy type V ?,Hereditary sensory and autonomic neuropathy type V,information,2_GARD_QA::0002852::0002852-1,2_GARD_QA::0002852::0002852-1,2_GARD_QA::0002852::0002852,GARD,What is (are) Hereditary sensory and autonomic neuropathy type V ?,Hereditary sensory and autonomic neuropathy type V,information,"Hereditary sensory and autonomic neuropathy type V (HSAN5) is a condition that affects the sensory nerve cells. These cells, which are also called sensory neurons, transmit information about sensations such as pain, temperature, and touch. Signs and symptoms of the condition generally develop at birth or during early infancy and may include a loss of pain and temperature sensation. Because of the inability to feel deep pain, affected people suffer repeated severe injuries such as bone fractures ",True
